ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
9945,541,1387,45.500184,11.156321,1.6,1.6,1.7557772,0.97
12601,644,1631,45.508318,11.163609,1.6,1.6,1.8010737,0.92
13060,639,1668,45.509307,11.162876,1.6,1.6,1.9096131,0.84
13288,694,1686,45.510468,11.167633,1.6,1.6,1.8187537,0.93
13483,567,1701,45.509388,11.156205,1.6,1.6,1.8499729,0.9
13693,662,1717,45.510967,11.164545,1.6,1.6,1.7575448,0.94
13769,665,1723,45.511173,11.164766,1.6,1.6,1.7278871,0.99
13818,663,1727,45.511262,11.164557,1.6,1.6,1.7389444,0.99
14027,641,1745,45.511512,11.162458,1.6,1.6,1.7498266,0.98
14268,642,1765,45.51209,11.162391,1.6,1.6,1.7582767,0.98
6037,490,989,45.488304,11.15486,1.7,1.7,1.8469449,0.86
7457,937,1124,45.497416,11.193566,1.7,1.7,1.853299,0.84
11300,542,1516,45.503851,11.155413,1.7,1.7,1.7789178,0.95
12218,293,1596,45.503153,11.132547,1.7,1.7,1.9525843,0.76
12344,842,1609,45.510036,11.181386,1.7,1.7,2.0369063,0.78
13585,703,1709,45.511226,11.168257,1.7,1.7,1.7363024,0.99
